,index,F1_test,F1_train_max,F1_train_mean,F1_train_min,course_name
0,0,0.7188177874186551,0.7139382352854721,0.7133655566111348,0.7122225607946471,HarvardXCB22x2013_Spring
1,1,0.7666132733018746,0.7668475948023252,0.7667022206378695,0.7665251047929559,HarvardXCS50x2012
2,2,0.7351105236101931,0.7363516311704673,0.7352096379841624,0.7343066932950865,HarvardXER22x2013_Spring
3,3,0.7321908290875405,0.7326501944536086,0.7322495852295546,0.7313491312552247,HarvardXPH207x2012_Fall
4,4,0.5072033898305084,0.518296131983941,0.5148648497719995,0.5120009541318,HarvardXPH278x2013_Spring
5,5,0.7172229639519359,0.716495437452544,0.714690674124388,0.7111411268551702,MITx14.73x2013_Spring
6,6,0.8271221532091096,0.8073177646175428,0.8072220924837726,0.807211462246687,MITx2.01x2013_Spring
7,7,0.6045066045066045,0.60356367008138,0.5975358667853021,0.5941458346837526,MITx3.091x2012_Fall
8,8,0.9753858990404671,0.9812259732414436,0.9812259732414436,0.9812259732414436,MITx3.091x2013_Spring
9,9,0.7680404231801674,0.7748539208802074,0.7742886665194134,0.7739222669807995,MITx6.002x2012_Fall
10,10,0.624939584340261,0.6240367720661043,0.6229782913410458,0.6220832035354381,MITx6.002x2013_Spring
11,11,0.7547084184252326,0.7580776629509266,0.7574571608897454,0.7568864275123579,MITx6.00x2012_Fall
12,12,0.9751346499102334,0.9732831842077045,0.9726885454084975,0.9720391142763964,MITx6.00x2013_Spring
13,13,0.7695992335941242,0.7700449920829151,0.7677495936584632,0.7649841703279385,MITx7.00x2013_Spring
14,14,0.8042607251050523,0.8012897481680339,0.8011750171521955,0.8007148318271232,MITx8.02x2013_Spring
15,15,0.8357384095793675,0.8279220639461154,0.8278654191306419,0.8275636783159623,MITx8.MReV2013_Summer
